H [kA/m],J [mT],B [mT],t [s]
-47.44,-1651.13,-1710.75,16.9868377
-45.81,-1644.42,-1701.99,17.0068382
-44.18,-1636.91,-1692.43,17.0268136
-42.55,-1629,-1682.47,17.046977
-41.08,-1620.38,-1672.01,17.0669984
-39.53,-1610.93,-1660.6,17.0869398
-37.98,-1600.68,-1648.4,17.1069482
-36.43,-1589.63,-1635.41,17.1269923
-34.96,-1578.63,-1622.56,17.146959
-33.57,-1566.47,-1608.66,17.1671074
-32.19,-1553.52,-1593.96,17.1872686
-30.8,-1538.97,-1577.68,17.2070674
-29.41,-1524.03,-1561,17.2271245
-28.11,-1508.34,-1543.66,17.247033
-26.8,-1491.45,-1525.13,17.2672095
-25.42,-1472.94,-1504.88,17.2870573
-24.11,-1453.27,-1483.57,17.3071204
-22.89,-1432.45,-1461.21,17.3270886
-21.67,-1411.23,-1438.46,17.3471006
-20.52,-1387.67,-1413.46,17.367164
-19.38,-1363.31,-1387.67,17.3872133
-18.16,-1338.52,-1361.34,17.4103039
-17.18,-1313.05,-1334.63,17.4272732
-16.12,-1286.34,-1306.6,17.4472182
-15.14,-1257.69,-1276.72,17.4673135
-14.08,-1228.61,-1246.3,17.4873124
-13.1,-1198.77,-1215.23,17.5072049
-12.21,-1167.77,-1183.11,17.5272241
-11.31,-1135.19,-1149.4,17.5473583
-10.49,-1101.05,-1114.24,17.5674349
-9.6,-1066.48,-1078.55,17.5873533
-8.78,-1031.95,-1042.99,17.6072846
-7.97,-995.83,-1005.85,17.6273245
-7.24,-956.97,-966.06,17.647321
-6.42,-917.67,-925.74,17.6674345
-5.77,-878.45,-885.7,17.6873677
-5.04,-837.6,-843.93,17.7074146
-4.38,-794.81,-800.32,17.7274523
-3.73,-750.42,-755.11,17.7475268
-3.08,-705.64,-709.51,17.7675888
-2.43,-660.86,-663.91,17.7874736
-1.94,-614.56,-617,17.8075469
-1.37,-565.45,-567.17,17.8274591
-0.72,-515.9,-516.81,17.8474335
-0.23,-466.43,-466.72,17.867596
0.26,-415.77,-415.45,17.8874881
0.74,-363.12,-362.18,17.9075336
1.23,-309.68,-308.13,17.9276766
1.64,-255.88,-253.82,17.947528
2.05,-201.68,-199.1,17.9676413
2.45,-145.89,-142.81,17.9876592
2.86,-88.11,-84.52,18.007695
3.27,-29.55,-25.44,18.0275859
3.67,28.63,33.24,18.0477195
4.08,88.38,93.51,18.0676937
4.48,150.13,155.76,18.087701
4.81,211.84,217.88,18.1077249
5.22,273.58,280.14,18.1276981
5.62,334.93,341.99,18.1476863
6.11,397.51,405.19,18.1677563
6.6,460.48,468.77,18.1877837
7.09,522.66,531.57,18.2077783
7.66,583.69,593.31,18.2277101
8.14,644.68,654.91,18.2478309
8.8,706.53,717.59,18.2678802
9.45,767.6,779.47,18.2877974
10.18,827.51,840.3,18.3078225
10.91,886.62,900.34,18.3278339
11.73,945.78,960.52,18.3478252
12.63,1003.78,1019.64,18.3678769
13.52,1060.19,1077.18,18.3878404
14.58,1113.5,1131.83,18.4078894
15.72,1165.66,1185.42,18.4278427
16.87,1216.62,1237.82,18.4478661
18.17,1265.28,1288.11,18.4680172
19.48,1311.16,1335.63,18.4879046
21.03,1354.37,1380.79,18.5079569
22.74,1396.86,1425.44,18.5279516
24.62,1435.85,1466.79,18.5479487
26.41,1471.63,1504.82,18.5679816
28.45,1504.35,1540.1,18.5879279
30.49,1533.89,1572.21,18.6081088
32.78,1560.76,1601.95,18.6280502
35.15,1584.89,1629.05,18.64796
37.59,1606.27,1653.52,18.6681383
40.21,1624.16,1674.69,18.6880327
42.9,1640.9,1694.81,18.7081196
45.59,1655.25,1712.54,18.7280929
48.37,1667.65,1728.44,18.7480783
51.15,1678.07,1742.34,18.7682237
54,1687.34,1755.2,18.788381
56.86,1695.41,1766.86,18.8081038
59.72,1702.29,1777.33,18.8281256
62.66,1708.42,1787.15,18.848146
65.6,1714.14,1796.57,18.8682208
68.45,1719.04,1805.06,18.8882812
71.31,1723.54,1813.15,18.9082609
74.25,1726.88,1820.19,18.9281598
77.03,1730.15,1826.95,18.9482295
79.8,1733.42,1833.7,18.968367
82.66,1736.33,1840.21,18.9883715
85.43,1738.81,1846.17,19.0084202
88.13,1741.25,1851.99,19.0284362
90.9,1743.33,1857.56,19.0483641
93.76,1745.05,1862.87,19.0683506
96.54,1747.12,1868.44,19.0883092
99.23,1748.77,1873.46,19.1083058
101.92,1750.41,1878.49,19.1285596
104.62,1751.66,1883.13,19.1483509
107.23,1752.87,1887.62,19.1685003
110.01,1754.15,1892.39,19.1884867
112.62,1755.36,1896.88,19.2084299
115.23,1756.57,1901.37,19.228525
117.92,1757.81,1906,19.2485009
120.54,1758.63,1910.1,19.2684711
123.07,1759.4,1914.05,19.2884599
125.6,1760.57,1918.4,19.3085293
128.13,1761.35,1922.36,19.3285066
130.66,1762.12,1926.31,19.3484827
133.19,1762.5,1929.87,19.3686218
135.64,1763.63,1934.08,19.3885322
138.01,1764.33,1937.75,19.4085546
140.45,1764.67,1941.17,19.4285955
142.9,1765.4,1944.98,19.4486509
145.27,1766.1,1948.65,19.4685838
147.72,1766.44,1952.07,19.488616
150.09,1766.74,1955.35,19.5087729
152.54,1767.48,1959.16,19.5287267
154.9,1768.18,1962.83,19.548672
157.19,1768.44,1965.97,19.568704
159.47,1768.7,1969.1,19.588641
161.84,1769.4,1972.78,19.6087254
164.21,1769.7,1976.05,19.6286299
166.57,1770,1979.33,19.6488236
168.78,1770.23,1982.32,19.6688796
171.15,1770.93,1986,19.6887925
173.43,1771.19,1989.13,19.708838
175.8,1771.49,1992.41,19.7287573
178.08,1771.76,1995.54,19.7487618
180.29,1772.38,1998.94,19.7688954
182.65,1772.68,2002.21,19.7889004
184.94,1772.55,2004.95,19.8088606
187.23,1772.81,2008.09,19.8288351
189.43,1773.04,2011.08,19.8488815
191.63,1773.26,2014.08,19.8688572
193.84,1773.88,2017.47,19.8889987
196.04,1773.71,2020.07,19.9088965
198.33,1773.98,2023.2,19.9289356
200.61,1774.64,2026.73,19.9488919
202.82,1774.86,2029.73,19.9689733
205.1,1774.73,2032.47,19.9889015
207.22,1774.92,2035.32,20.0089487
209.35,1775.11,2038.18,20.0290931
211.47,1775.29,2041.03,20.0489965
213.75,1775.56,2044.17,20.0690476
215.87,1775.75,2047.02,20.0890174
218,1775.93,2049.88,20.1090348
220.12,1776.12,2052.73,20.1290434
222.32,1776.35,2055.73,20.1490084
224.61,1776.61,2058.86,20.169189
226.73,1776.8,2061.72,20.1890693
228.77,1776.95,2064.43,20.2090303
230.81,1776.7,2066.75,20.2293118
232.93,1776.89,2069.6,20.2491603
235.06,1777.47,2072.85,20.2692058
237.01,1777.19,2075.03,20.2891941
239.05,1777.34,2077.75,20.3092003
241.18,1777.53,2080.6,20.3292665
243.3,1777.72,2083.45,20.3491957
245.34,1777.87,2086.17,20.3692203
247.38,1778.02,2088.88,20.3891642
249.42,1778.56,2091.99,20.4092533
251.46,1778.71,2094.71,20.4291976
253.5,1778.47,2097.03,20.4492618
255.54,1778.62,2099.74,20.4694163
257.5,1779.13,2102.71,20.4892753
259.62,1778.92,2105.17,20.5092669
261.66,1778.67,2107.49,20.5293367
263.62,1778.78,2110.06,20.5493242
265.58,1778.9,2112.63,20.5694801
267.62,1779.05,2115.35,20.5892847
269.66,1779.2,2118.06,20.6094341
271.7,1778.95,2120.38,20.6293546
273.74,1779.1,2123.09,20.6494122
275.7,1779.61,2126.06,20.6695648
277.66,1779.33,2128.24,20.6894427
279.78,1779.51,2131.1,20.7093961
281.74,1779.63,2133.67,20.7294457
283.78,1779.78,2136.38,20.749505
285.74,1779.89,2138.96,20.769454
287.78,1779.64,2141.28,20.7894677
289.74,1779.76,2143.85,20.8095108
291.53,1779.79,2146.14,20.8296251
293.49,1779.9,2148.72,20.8495086
295.45,1780.02,2151.29,20.8695936
297.49,1779.77,2153.61,20.8895254
299.37,1779.85,2156.04,20.9095774
301.24,1779.92,2158.47,20.9297134
303.12,1779.99,2160.91,20.9496004
305.08,1779.71,2163.08,20.9696016
307.04,1780.22,2166.06,20.9895986
308.92,1780.29,2168.49,21.0095906
310.79,1779.97,2170.53,21.0296957
312.83,1780.12,2173.24,21.0496273
314.87,1780.27,2175.95,21.0696897
316.91,1780.03,2178.27,21.089613
318.87,1779.74,2180.45,21.1097277
320.91,1780.29,2183.56,21.1298496
322.87,1780.4,2186.13,21.1497206
324.83,1780.12,2188.31,21.1697477
326.79,1780.23,2190.88,21.1897605
328.67,1780.3,2193.32,21.209891
330.71,1780.06,2195.63,21.2297987
332.66,1780.17,2198.21,21.2498258
334.62,1780.28,2200.78,21.2699418
336.42,1780.32,2203.08,21.2909688
338.38,1780.03,2205.25,21.3098718
340.34,1779.75,2207.43,21.3298634
342.21,1780.22,2210.26,21.3498042
344.17,1779.94,2212.44,21.3699772
346.05,1780.01,2214.87,21.3898509
348.01,1779.73,2217.05,21.4098035
349.88,1779.8,2219.48,21.4299213
351.76,1779.88,2221.91,21.4499676
353.64,1779.95,2224.35,21.470084
355.6,1780.06,2226.92,21.4899548
357.64,1779.82,2229.24,21.5099176
359.51,1779.5,2231.27,21.530011
361.31,1779.53,2233.57,21.5500577
363.19,1779.61,2236,21.5700593
365.15,1779.32,2238.18,21.5900107
367.02,1779.4,2240.61,21.6100137
368.9,1779.47,2243.04,21.6332773
370.69,1779.11,2244.94,21.6500913
372.65,1778.83,2247.12,21.670106
374.53,1778.9,2249.55,21.6901176
376.33,1778.94,2251.84,21.7102031
378.2,1779.01,2254.28,21.7302001
380.08,1779.09,2256.71,21.7502225
381.96,1778.77,2258.75,21.7702954
383.83,1778.44,2260.78,21.7902109
385.71,1778.52,2263.22,21.8102103
387.42,1778.52,2265.37,21.8302113
389.3,1778.2,2267.41,21.850209
391.26,1778.31,2269.98,21.8702141
393.14,1777.99,2272.02,21.8902273
394.93,1777.63,2273.91,21.9102098
396.73,1777.66,2276.21,21.9301609
398.6,1777.34,2278.24,21.9503167
400.4,1776.98,2280.14,21.9703097
402.28,1777.06,2282.57,21.9902763
404.15,1776.73,2284.61,22.0103943
406.03,1776.81,2287.04,22.0304301
407.91,1776.49,2289.08,22.0504346
409.78,1776.16,2291.11,22.0704149
411.58,1775.8,2293.01,22.0903689
413.29,1775.8,2295.16,22.1103365
415.01,1775.8,2297.31,22.1304503
416.72,1775.4,2299.07,22.1504672
418.27,1774.93,2300.54,22.1705075
419.9,1775.29,2302.95,22.1904218
